Sr,Platforms,Project category - Tags/ Keywords,"Project examples (most viewed, state: 13.09.2021)",Issue tracking,Platform summary,Platform metadata,Mark-up language,FOSS,Sync ,Lock-in,Comment regarding LOSH integration
1,[Arduino Project Hub](www.google.com),"Micro-controllers
Softwares and hardwares
Arduinos","Arduino IoT train
Robotic Cat
(Arduino projects only)",Yes,"Arduino is an open-source electronics platform based on easy-to-use hardware and software.
 The plans of the Arduino boards are published under a Creative Commons license, so experienced circuit designers can make their own version of the module, extending it and improving it",Unknown,Markdown,No,No,High,no API
2,Hackster,"Software platforms - Arduino, Raspberry pi, Microsoft, Adafruit
Iot, Robotics, AI, Machine learning, security
Arduino UNO, Fusion 360, Blynk","Voice Activated Robo Car on Microcontroller with TinyML
Digital temperature sensor
""How to"" tutorials
(Wide range of projects from the field of computing and micro-controllers)",Yes,"Hackster is a developer community for learning, programming, and building hardware.","1,8 Million + members
29.000+ Open source projects
250+ company platforms",Markdown,Yes,Yes,Low,no API
3,Instructables,"Arduinos, Electric circuits
Workshops (Frames, gates, etc.
Craft
Cooking
Living
Other outdoor products
Teaching tutorials","Loom With Combs
Hot tub
Solar powered lantern
Light sculptures",Yes,"DIY community
Majority of the 3d printed parts",340.000+ projects,Markdown,Yes,Yes,Low,no (official) API
4,Kitspace,"Electronics
PCBs","Piezo sensors, motor controllers, etc
(Electronic and PCBs 
Shop option available - Aisler, PCBWay, JLCPCB, OSHPARK)",Yes,"Kitspace is a place to share ready-to-order electronics designs. We automate parts purchasing so you can focus on building.
",Unknown,Markdown,Yes,Yes,Low,projects are hosted on git-based platforms and apply an OKHv1 fork
5,Open Hardware Observatory,"Sustainable CAD designs for hardwares (Frames, benches, etc)","Pottery wheel, Solar fish drier, Baby incubator
(Mostly CAD, 3d print and DIYs)",Yes,"Development of standards for the documentation and certification of Open Hardware projects
Registration and categorization of Open Hardware
Certification of the selected projects",~ 12.000 projects,Markdown,No,No,High,no API
6,Open structures,Sustainable and modukar designs for structures,"Boxes, wood stove, Wood furnitures, Racks",No,"Modular systems
Lots of furniture
Focuses on sustainable and standardisation","300+ participants
82 designers
41 partners",HTML,No,No,High,no API
7,Paparazzi UAV,Drone hardware and software projects,"Hardware - Autopilot, GPS receiver, IF sensor
Software - Wing configurations, Simulation, Flight plans
(Standard drone parts-Hardware and softwares)",Yes,"
Paparazzi UAV (Unmanned Aerial Vehicle) is an open-source drone hardware and software project encompassing autopilot systems and ground station software for multicopters/multirotors, fixed-wing, helicopters and hybrid aircraft that was founded in 2003.",Unknown,Wiki-text,Yes,Yes,Low,no API
8,Welder ,"Medical consumables, equipments and devices","Careables - Covid Masks, Face shields
Slit lamp, Syringe pump
(3D printed parts and DIYs)",Yes,"
The technology used is a version control system called 'Git.' Its ability to enable fast, secure, and decentralized collaboration has taken the world of software development by storm and has supported the creation of many of the software innovations we use today.",Unknown,Markdown,Yes,Yes,Low,no API
9,HACKADAY.IO,"3D printed, Electric vehicle and automotive hacks, LED displays, Home automation, homebrew computers, Arduino, other electronics platforms","ZeroPhone - a Raspberry Pi smartphone
3D Printable Robot Arm
$20 Wireless Arduino Home Automation
PCB mill for under $10",Yes,"Hackaday serves up Fresh Hacks Every Day from around the Internet. Mostly, hack related stuff
Wide range of projects from the field of computing and micro-controllers
3D printed parts
Blogs 
",50+ hackaday current contributors and editors,Markdown,Yes,Yes,Low,"very few projects clarify their licensing scheme – and that only in logs, which makes it very hard to distinguish OSH from proprietary inventions"
10,DocuBricks,"DIY, 3D printing, laser cutting, microscope","Koruza, uCube, open flexure microscope",No,"Detailed projects, can upload complete projects, no search/ filter option",Approx 15 projects,HTML,Yes,No,High,no API
